Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
63,0.770241,1.309529,1.394768,-0.944726,-2.096503,-11.815735
64,0.769075,1.312045,1.407702,-0.946629,-2.095380,-11.815735
65,0.553201,0.782301,0.560666,-0.910597,-2.601809,-11.815735
66,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
67,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
68,0.348075,1.363249,4.980198,-0.995787,-1.172960,-11.815735
69,0.422984,0.781855,0.553783,-0.851673,-2.665706,-12.941813
70,0.567227,0.782301,0.549886,-0.994503,-2.653049,-12.941813
71,0.321953,0.892239,3.937327,-0.998178,-1.106963,-12.941813
72,0.348075,1.363058,4.988279,-0.995770,-1.172960,-9.383204
73,0.336737,0.639330,2.282000,-0.995063,-1.147597,-11.815735
74,0.347507,1.363058,4.987208,-0.994664,-1.171594,-11.815735
75,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
76,0.563896,0.782301,0.560666,-0.990464,-2.635468,-8.609636
77,0.566895,0.781751,0.602457,-0.987251,-2.652643,-11.815735
78,0.565800,0.781855,0.552971,-0.986966,-2.646910,-12.941813
79,0.329276,0.878333,4.126514,-0.992197,-1.128103,-12.941813
80,0.321953,0.892239,3.938419,-0.998178,-1.106963,-11.815735
81,0.321385,0.892241,4.109795,-0.996053,-1.105397,-12.941813
82,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
83,0.335198,1.358597,4.983799,-0.991591,-1.142689,-11.815735
84,0.339535,0.642189,2.282000,-0.989371,-1.154814,-8.609636
85,0.565800,0.781855,0.553783,-0.986966,-2.646910,-9.383204
86,0.561412,0.782301,0.636760,-0.986053,-2.625717,-12.941813
87,0.564098,0.778893,0.426431,-0.877575,-2.639504,-12.941813
88,0.562507,0.778884,0.614985,-0.985403,-2.630405,-12.941813
89,0.321385,0.892241,4.109795,-0.996053,-1.105397,-11.815735
90,0.321385,0.892239,4.109795,-0.996052,-1.105397,-12.941813
91,0.562844,0.778893,0.530179,-0.962339,-2.634355,-8.609636
92,0.334006,1.314616,4.952182,-0.985627,-1.138510,-12.941813
93,0.321393,0.892239,4.109795,-0.996052,-1.105397,-12.941813
94,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
95,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
96,0.348075,1.363249,4.980198,-0.995787,-1.172960,-11.815735
97,0.422984,0.781855,0.553783,-0.851673,-2.665706,-12.941813
98,0.321953,0.892239,3.937327,-0.998178,-1.106963,-12.941813
99,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370
100,0.347507,1.363058,4.988205,-0.994664,-1.171594,-13.572370
101,0.348075,1.363058,4.988279,-0.995770,-1.172960,-9.383204
102,0.336737,0.639330,2.282000,-0.995063,-1.147597,-11.815735
103,0.321953,0.892239,3.938419,-0.998178,-1.106963,-11.815735
104,0.321385,0.892241,4.109795,-0.996053,-1.105397,-12.941813
105,0.567227,0.782301,0.549886,-0.994503,-2.653049,-12.941813
106,0.566895,0.781762,0.602457,-0.987255,-2.652643,-13.572370
107,0.564769,0.778884,0.614985,-0.988122,-2.642775,-13.572370
108,0.347507,1.363058,4.987208,-0.994664,-1.171594,-11.815735
109,0.341693,1.314616,4.984536,-0.990301,-1.158509,-13.572370
110,0.321385,0.892241,4.109795,-0.996053,-1.105397,-11.815735
111,0.321385,0.892239,4.109795,-0.996052,-1.105397,-12.941813
112,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
113,0.563896,0.782301,0.560666,-0.990464,-2.635468,-8.609636
114,0.329276,0.878333,4.126514,-0.992197,-1.128103,-12.941813
115,0.566895,0.781751,0.602457,-0.987251,-2.652643,-11.815735
116,0.565800,0.781855,0.552971,-0.986966,-2.646910,-12.941813
117,0.560063,0.778893,0.575868,-0.980870,-2.621385,-13.572370
118,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
119,0.335198,1.358597,4.983799,-0.991591,-1.142689,-11.815735
120,0.319691,0.892239,3.937327,-0.981858,-1.099092,-13.572370
121,0.321393,0.892239,4.109795,-0.996052,-1.105397,-12.941813
122,0.339535,0.642189,2.282000,-0.989371,-1.154814,-8.609636
123,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
124,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
125,0.348075,1.363249,4.980198,-0.995787,-1.172960,-11.815735
126,0.422984,0.781855,0.553783,-0.851673,-2.665706,-12.941813
127,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370
128,0.347507,1.363058,4.988205,-0.994664,-1.171594,-13.572370
129,0.321953,0.892239,3.904923,-0.999272,-1.106963,-13.101654
130,0.567227,0.782290,0.605299,-0.995518,-2.653049,-13.101654
131,0.348075,1.363058,4.989019,-0.995770,-1.172960,-13.101654
132,0.566895,0.781762,0.602457,-0.987255,-2.652643,-13.572370
133,0.564769,0.778884,0.614985,-0.988122,-2.642775,-13.572370
134,0.341693,1.314616,4.984536,-0.990301,-1.158509,-13.572370
135,0.321949,0.892239,3.937327,-0.998178,-1.106963,-13.101654
136,0.567227,0.782301,0.549886,-0.994503,-2.653049,-12.941813
137,0.348075,1.363058,4.988279,-0.995770,-1.172960,-9.383204
138,0.336737,0.639330,2.282000,-0.995063,-1.147597,-11.815735
139,0.347507,1.363058,4.987208,-0.994664,-1.171594,-11.815735
140,0.321953,0.892239,3.937327,-0.998178,-1.106963,-12.941813
141,0.560063,0.778893,0.575868,-0.980870,-2.621385,-13.572370
142,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
143,0.319691,0.892239,3.937327,-0.981858,-1.099092,-13.572370
144,0.563896,0.782301,0.560666,-0.990464,-2.635468,-8.609636
145,0.566895,0.781751,0.602457,-0.987251,-2.652643,-11.815735
146,0.565800,0.781855,0.596859,-0.987643,-2.646910,-11.042061
147,0.565800,0.781855,0.552971,-0.986966,-2.646910,-12.941813
148,0.335198,1.358597,4.983799,-0.991591,-1.142689,-11.815735
149,0.562371,0.778893,0.575868,-0.982415,-2.630452,-13.101654
150,0.321385,0.892239,4.076666,-0.997050,-1.105397,-13.101654
151,0.329276,0.878333,4.126514,-0.992197,-1.128103,-12.941813
152,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
153,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
154,0.348075,1.363249,4.980198,-0.995787,-1.172960,-11.815735
155,0.422984,0.781855,0.553783,-0.851673,-2.665706,-12.941813
156,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370
157,0.347507,1.363058,4.988205,-0.994664,-1.171594,-13.572370
158,0.321953,0.892239,3.904923,-0.999272,-1.106963,-13.101654
159,0.567227,0.782290,0.605299,-0.995518,-2.653049,-13.101654
160,0.348075,1.363058,4.989019,-0.995770,-1.172960,-13.101654
161,0.605959,0.778893,0.185391,-0.946672,-2.693058,-11.421296
162,0.567218,0.782290,0.549886,-0.994121,-2.653070,-11.421296
163,0.564007,0.782290,0.605299,-0.998047,-2.635940,-11.421296
164,0.603188,0.875910,0.938867,-0.907472,-2.729576,-11.421296
165,0.566895,0.781762,0.602457,-0.987255,-2.652643,-13.572370
166,0.564769,0.778884,0.614985,-0.988122,-2.642775,-13.572370
167,0.341693,1.314616,4.984536,-0.990301,-1.158509,-13.572370
168,0.321949,0.892239,3.937327,-0.998178,-1.106963,-13.101654
169,0.567227,0.782301,0.549886,-0.994503,-2.653049,-12.941813
170,0.567227,0.782252,0.549886,-0.994608,-2.653049,-11.421296
171,0.336737,0.639330,2.282000,-0.995063,-1.147597,-11.815735
172,0.347507,1.363058,4.987208,-0.994664,-1.171594,-11.815735
173,0.348075,1.363058,4.988279,-0.995770,-1.172960,-9.383204
174,0.587993,0.778893,0.197538,-0.795329,-2.708939,-11.421296
175,0.422984,0.778818,0.553783,-0.890332,-2.665706,-11.421296
176,0.321953,0.892239,3.937327,-0.998178,-1.106963,-12.941813
177,0.560063,0.778893,0.575868,-0.980870,-2.621385,-13.572370
178,0.347507,1.363058,4.983799,-0.994664,-1.171594,-0.000000
179,0.319691,0.892239,3.937327,-0.981858,-1.099092,-13.572370
180,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
181,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
182,0.422984,0.781855,0.553783,-0.851673,-2.665706,-12.941813
183,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370
184,0.347507,1.363058,4.988205,-0.994664,-1.171594,-13.572370
185,0.321953,0.892239,3.904923,-0.999272,-1.106963,-13.101654
186,0.567227,0.782290,0.605299,-0.995518,-2.653049,-13.101654
187,0.348075,1.363058,4.989019,-0.995770,-1.172960,-13.101654
188,0.605959,0.778893,0.185391,-0.946672,-2.693058,-11.421296
189,0.564007,0.782290,0.605299,-0.998047,-2.635940,-11.421296
190,0.603188,0.875910,0.938867,-0.907472,-2.729576,-11.421296
191,0.563988,0.782290,0.605345,-0.997627,-2.635431,-12.932554
192,0.346549,1.363058,4.988279,-0.999578,-1.169097,-12.932554
193,0.567337,0.778893,0.602410,-0.997034,-2.653084,-12.932554
194,0.589518,0.778893,0.197538,-0.803364,-2.713170,-12.932554
195,0.566895,0.781762,0.602457,-0.987255,-2.652643,-13.572370
196,0.564769,0.778884,0.614985,-0.988122,-2.642775,-13.572370
197,0.341693,1.314616,4.984536,-0.990301,-1.158509,-13.572370
198,0.321949,0.892239,3.937327,-0.998178,-1.106963,-13.101654
199,0.567227,0.782301,0.549886,-0.994503,-2.653049,-12.941813
200,0.422984,0.778818,0.553783,-0.890332,-2.665706,-11.421296
201,0.567218,0.782290,0.549886,-0.994121,-2.653070,-11.421296
202,0.557544,0.755905,0.939017,-0.996602,-2.351308,-12.932554
203,0.567227,0.782301,0.601820,-0.995522,-2.653049,-12.932554
204,0.587993,0.778893,0.197538,-0.795329,-2.708939,-11.421296
205,0.319691,0.892239,3.937327,-0.981858,-1.099092,-13.572370
206,0.560063,0.778893,0.575868,-0.980870,-2.621385,-13.572370
207,0.564098,0.778893,0.602457,-0.999853,-2.635912,-0.000000
208,0.605959,0.778893,0.200360,-0.957363,-2.693058,-9.383204
209,0.422984,0.781855,0.553783,-0.851673,-2.665706,-12.941813
210,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370
211,0.347507,1.363058,4.988205,-0.994664,-1.171594,-13.572370
212,0.321953,0.892239,3.904923,-0.999272,-1.106963,-13.101654
213,0.567227,0.782290,0.605299,-0.995518,-2.653049,-13.101654
214,0.348075,1.363058,4.989019,-0.995770,-1.172960,-13.101654
215,0.605959,0.778893,0.185391,-0.946672,-2.693058,-11.421296
216,0.564007,0.782290,0.605299,-0.998047,-2.635940,-11.421296
217,0.603188,0.875910,0.938867,-0.907472,-2.729576,-11.421296
218,0.563988,0.782290,0.605345,-0.997627,-2.635431,-12.932554
219,0.346549,1.363058,4.988279,-0.999578,-1.169097,-12.932554
220,0.567337,0.778893,0.602410,-0.997034,-2.653084,-12.932554
221,0.589518,0.778893,0.197538,-0.803364,-2.713170,-12.932554
222,0.566895,0.781762,0.602457,-0.987255,-2.652643,-13.572370
223,0.564769,0.778884,0.614985,-0.988122,-2.642775,-13.572370
224,0.341693,1.314616,4.984536,-0.990301,-1.158509,-13.572370
225,0.321949,0.892239,3.937327,-0.998178,-1.106963,-13.101654
226,0.567227,0.782301,0.549886,-0.994503,-2.653049,-12.941813
227,0.422984,0.778818,0.553783,-0.890332,-2.665706,-11.421296
228,0.567218,0.782290,0.549886,-0.994121,-2.653070,-11.421296
229,0.557544,0.755905,0.939017,-0.996602,-2.351308,-12.932554
