Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
102,0.730884,0.964786,0.783148,-0.918876,-2.951680
103,0.758674,0.971413,0.754893,-0.975949,-2.655345
104,0.802428,1.323791,1.191351,-0.996159,-2.189080
105,0.807628,1.308608,1.151649,-0.980223,-2.210143
106,0.749051,0.972069,0.754893,-0.902987,-2.755020
107,0.749051,0.957251,0.754893,-0.970508,-2.580552
108,0.734265,0.970405,0.899899,-0.975918,-2.580531
109,0.802428,1.323791,1.191457,-0.996159,-2.189080
110,0.807628,1.308608,1.151664,-0.980223,-2.210143
111,0.734265,0.964786,0.783148,-0.944466,-2.864670
112,0.730884,0.964786,0.783148,-0.918876,-2.951680
113,0.758674,0.971413,0.754893,-0.975949,-2.655345
114,0.802428,1.323791,1.191351,-0.996159,-2.189080
115,0.807628,1.308608,1.151649,-0.980223,-2.210143
116,0.749051,0.972035,0.781771,-0.949147,-2.667622
117,0.758834,0.971413,0.754893,-0.979021,-2.655334
118,0.749051,0.972069,0.754893,-0.902987,-2.755020
119,0.758769,0.971413,0.754893,-0.979021,-2.655333
120,0.802428,1.323791,1.191457,-0.996159,-2.189080
121,0.807628,1.308608,1.151664,-0.980223,-2.210143
122,0.734265,0.964786,0.783148,-0.944466,-2.864670
123,0.758674,0.971413,0.754893,-0.975949,-2.655345
124,0.802428,1.323791,1.191351,-0.996159,-2.189080
125,0.807628,1.308608,1.151649,-0.980223,-2.210143
126,0.758834,0.971413,0.754893,-0.979021,-2.655334
127,0.730956,0.964786,0.783148,-0.919937,-2.951701
128,0.749814,0.972069,0.790479,-0.975095,-2.667632
129,0.749051,0.972068,0.781771,-0.963465,-2.754911
130,0.758769,0.971413,0.754893,-0.979021,-2.655333
131,0.730884,0.964786,0.783148,-0.918876,-2.951680
132,0.749051,0.972035,0.781771,-0.949147,-2.667622
133,0.802428,1.323791,1.191457,-0.996159,-2.189080
134,0.734265,0.964786,0.783148,-0.944466,-2.864670
135,0.802428,1.323791,1.191351,-0.996159,-2.189080
136,0.730956,0.964786,0.783148,-0.919937,-2.951701
137,0.734682,0.964786,0.783148,-0.931879,-2.864677
138,0.926756,0.972808,0.036438,-0.990182,-2.777889
139,0.730884,0.964786,0.783148,-0.918876,-2.951680
140,0.807628,1.308608,1.151664,-0.980223,-2.210143
141,0.758674,0.971413,0.754893,-0.975949,-2.655345
142,0.807628,1.308608,1.151649,-0.980223,-2.210143
143,0.758834,0.971413,0.754893,-0.979021,-2.655334
144,0.749814,0.972069,0.790479,-0.975095,-2.667632
145,0.749051,0.972068,0.781771,-0.963465,-2.754911
146,0.758738,0.971413,0.754893,-0.975949,-2.655345
147,0.749845,0.972069,0.790479,-0.975095,-2.667632
148,0.802428,1.323791,1.191457,-0.996159,-2.189080
149,0.734265,0.964786,0.783148,-0.944466,-2.864670
150,0.802428,1.323791,1.191351,-0.996159,-2.189080
151,0.730956,0.964786,0.783148,-0.919937,-2.951701
152,0.734682,0.964786,0.783148,-0.931879,-2.864677
153,0.926756,0.972808,0.036438,-0.990182,-2.777889
154,0.802428,1.322261,1.191457,-0.994931,-2.189080
155,0.730884,0.964786,0.783148,-0.918876,-2.951680
156,0.807628,1.308608,1.151664,-0.980223,-2.210143
157,0.807628,1.308608,1.151649,-0.980223,-2.210143
158,0.749051,0.972068,0.781771,-0.963465,-2.754911
159,0.938920,0.972089,0.002195,-0.979551,-2.680418
160,0.754260,0.973663,0.730093,-0.914228,-2.755303
161,0.758834,0.971413,0.754893,-0.979021,-2.655334
162,0.802428,1.323791,1.191457,-0.996159,-2.189080
163,0.734265,0.964786,0.783148,-0.944466,-2.864670
164,0.802428,1.323791,1.191351,-0.996159,-2.189080
165,0.734682,0.964786,0.783148,-0.931879,-2.864677
166,0.926756,0.972808,0.036438,-0.990182,-2.777889
167,0.905940,0.972808,0.036438,-0.930919,-2.972098
168,0.926383,0.972808,0.036438,-0.984360,-2.777898
169,0.734708,0.950494,0.782150,-0.991918,-2.766288
170,0.802428,1.322261,1.191457,-0.994931,-2.189080
171,0.730956,0.964786,0.783148,-0.919937,-2.951701
172,0.807628,1.308608,1.151664,-0.980223,-2.210143
173,0.807628,1.308608,1.151649,-0.980223,-2.210143
174,0.749051,0.972068,0.781771,-0.963465,-2.754911
175,0.938920,0.972089,0.002195,-0.979551,-2.680418
176,0.802428,1.321700,1.191457,-0.994418,-2.189080
177,0.802428,1.323791,1.191457,-0.996159,-2.189080
178,0.734265,0.964786,0.783148,-0.944466,-2.864670
179,0.802428,1.323791,1.191351,-0.996159,-2.189080
180,0.734682,0.964786,0.783148,-0.931879,-2.864677
181,0.926756,0.972808,0.036438,-0.990182,-2.777889
182,0.905940,0.972808,0.036438,-0.930919,-2.972098
183,0.926383,0.972808,0.036438,-0.984360,-2.777898
184,0.734708,0.950494,0.782150,-0.991918,-2.766288
185,0.802428,1.322261,1.191457,-0.994931,-2.189080
186,0.730956,0.964786,0.783148,-0.919937,-2.951701
187,0.938920,0.977296,0.002195,-0.971919,-2.768517
188,0.807628,1.308608,1.151664,-0.980223,-2.210143
189,0.807628,1.308608,1.151649,-0.980223,-2.210143
190,0.938920,0.972089,0.002195,-0.979551,-2.680418
191,0.749051,0.972068,0.781771,-0.963465,-2.754911
192,0.802428,1.323791,1.191457,-0.996159,-2.189080
193,0.734265,0.964786,0.783148,-0.944466,-2.864670
194,0.802428,1.323791,1.191351,-0.996159,-2.189080
195,0.926756,0.972808,0.036438,-0.990182,-2.777889
196,0.905940,0.972808,0.036438,-0.930919,-2.972098
197,0.926383,0.972808,0.036438,-0.984360,-2.777898
198,0.734708,0.950494,0.782150,-0.991918,-2.766288
199,0.929058,0.982853,0.036438,-0.938328,-2.867892
200,0.926383,0.972808,0.036595,-0.984360,-2.777898
201,0.802428,1.322261,1.191457,-0.994931,-2.189080
202,0.926756,0.969934,0.010706,-0.989234,-2.777889
203,0.730956,0.964786,0.783148,-0.919937,-2.951701
204,0.734682,0.964786,0.783148,-0.931879,-2.864677
205,0.802428,1.323791,1.191457,-0.996159,-2.189080
206,0.734265,0.964786,0.783148,-0.944466,-2.864670
207,0.802428,1.323791,1.191351,-0.996159,-2.189080
208,0.926756,0.972808,0.036438,-0.990182,-2.777889
209,0.905940,0.972808,0.036438,-0.930919,-2.972098
210,0.926383,0.972808,0.036438,-0.984360,-2.777898
211,0.734708,0.950494,0.782150,-0.991918,-2.766288
212,0.929058,0.982853,0.036438,-0.938328,-2.867892
213,0.926383,0.972808,0.036595,-0.984360,-2.777898
214,0.802428,1.322261,1.191457,-0.994931,-2.189080
215,0.926756,0.969934,0.010706,-0.989234,-2.777889
216,0.730956,0.964786,0.783148,-0.919937,-2.951701
217,0.734682,0.964786,0.783148,-0.931879,-2.864677
218,0.736296,0.950494,0.768748,-0.988643,-2.766401
219,0.735153,0.963902,0.764489,-0.918958,-2.864642
220,0.802428,1.323791,1.191457,-0.996159,-2.189080
