Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
398,0.433652,0.718339,1.263221,-0.999981,-2.389604
399,0.479737,0.715490,0.689572,-0.988442,-2.457891
400,0.437807,0.840899,0.871750,-0.879877,-2.785608
401,0.437251,0.840339,0.871942,-0.880147,-2.783970
402,0.436749,0.718406,1.278500,-0.993602,-2.391589
403,0.436749,0.718406,1.279355,-0.993602,-2.391589
404,0.486274,0.783336,1.260476,-0.983596,-2.483900
405,0.436749,0.718406,1.275685,-0.993602,-2.391589
406,0.433652,0.718339,1.260469,-0.999981,-2.389604
407,0.427089,0.841179,1.021531,-0.901051,-2.726186
408,0.470648,0.727710,1.029577,-0.985440,-2.465065
409,0.479737,0.715490,0.688589,-0.988442,-2.457891
410,0.451347,0.701422,0.898830,-0.990601,-2.441185
411,0.470628,0.727710,1.217377,-0.999883,-1.500918
412,0.433652,0.718406,1.286163,-0.999568,-2.389604
413,0.480142,0.727710,1.213853,-0.999725,-1.531432
414,0.437048,0.842564,0.870820,-0.849913,-2.782834
415,0.486274,0.798953,1.258868,-0.927869,-2.552261
416,0.427000,0.840899,1.021531,-0.900567,-2.725527
417,0.486274,0.783091,1.258868,-0.983595,-2.483900
418,0.436776,0.840899,0.871750,-0.868920,-2.781730
419,0.489718,0.713224,0.688993,-0.964692,-2.498636
420,0.487867,0.794031,1.285781,-0.971757,-2.490960
421,0.433652,0.718339,1.260470,-0.999981,-2.389604
422,0.488286,0.713224,0.688993,-0.979824,-2.561999
423,0.480768,0.715490,0.689572,-0.988062,-2.460015
424,0.433652,0.718339,1.263221,-0.999981,-2.389604
425,0.437807,0.840899,0.871750,-0.879877,-2.785608
426,0.437251,0.840339,0.871942,-0.880147,-2.783970
427,0.436749,0.718406,1.278500,-0.993602,-2.391589
428,0.436749,0.718406,1.279355,-0.993602,-2.391589
429,0.486274,0.783336,1.260476,-0.983596,-2.483900
430,0.436749,0.718406,1.275685,-0.993602,-2.391589
431,0.433652,0.718339,1.260469,-0.999981,-2.389604
432,0.427089,0.841179,1.021531,-0.901051,-2.726186
433,0.470648,0.727710,1.029577,-0.985440,-2.465065
434,0.451347,0.701422,0.898830,-0.990601,-2.441185
435,0.479737,0.715522,0.689372,-0.988445,-2.457891
436,0.486274,0.798953,1.258868,-0.927869,-2.552261
437,0.489718,0.713224,0.688993,-0.964692,-2.498636
438,0.487867,0.794031,1.285781,-0.971757,-2.490960
439,0.437048,0.842564,0.870820,-0.849913,-2.782834
440,0.436776,0.840899,0.871750,-0.868920,-2.781730
441,0.486274,0.783091,1.258868,-0.983595,-2.483900
442,0.470628,0.727710,1.217377,-0.999883,-1.500918
443,0.480142,0.727710,1.213853,-0.999725,-1.531432
444,0.433652,0.718408,1.285971,-0.999568,-2.389604
445,0.427000,0.840899,1.021531,-0.900567,-2.725527
446,0.479737,0.715490,0.689572,-0.988442,-2.457891
447,0.479737,0.715490,0.688589,-0.988442,-2.457891
448,0.470628,0.727679,1.217577,-0.999880,-1.500918
449,0.433652,0.718406,1.286163,-0.999568,-2.389604
450,0.433652,0.718339,1.260470,-0.999981,-2.389604
451,0.488286,0.713224,0.688993,-0.979824,-2.561999
452,0.480768,0.715490,0.689572,-0.988062,-2.460015
453,0.433652,0.718339,1.263221,-0.999981,-2.389604
454,0.437807,0.840899,0.871750,-0.879877,-2.785608
455,0.437251,0.840339,0.871942,-0.880147,-2.783970
456,0.436749,0.718406,1.278500,-0.993602,-2.391589
457,0.436749,0.718406,1.279355,-0.993602,-2.391589
458,0.486274,0.783336,1.260476,-0.983596,-2.483900
459,0.436749,0.718406,1.275685,-0.993602,-2.391589
460,0.433652,0.718339,1.260469,-0.999981,-2.389604
461,0.427089,0.841179,1.021531,-0.901051,-2.726186
462,0.470648,0.727710,1.029577,-0.985440,-2.465065
463,0.451347,0.710905,0.898830,-0.992279,-2.441185
464,0.488286,0.713224,0.682803,-0.979824,-2.561999
465,0.472005,0.927774,1.028144,-0.741968,-2.908886
466,0.479737,0.718124,0.689572,-0.988630,-2.457891
467,0.437048,0.842564,0.870820,-0.849913,-2.782834
468,0.436776,0.840899,0.871750,-0.868920,-2.781730
469,0.486274,0.783091,1.258868,-0.983595,-2.483900
