Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
237,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
238,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
239,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
240,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
241,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
242,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
243,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
244,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
245,0.623480,0.860809,0.757874,-0.985640,-2.796520,-5.530939
246,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
247,0.602036,0.840788,0.764385,-0.990427,-2.732331,-5.694209
248,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
249,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
250,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
251,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
252,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
253,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
254,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
255,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
256,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
257,0.602036,0.840788,0.764385,-0.990427,-2.732331,-5.694209
258,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
259,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
260,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
261,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
262,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
263,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
264,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
265,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
266,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
267,0.602036,0.840788,0.764385,-0.990427,-2.732331,-5.694209
268,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
269,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
270,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
271,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
272,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
273,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
274,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
